iteration,total_loss,recon_loss,total_corr,betaVAE_kld,k_sim_loss,k_contrast_loss,lambda_TC,kld_dim1,kld_dim2,kld_dim3,kld_dim4,kld_dim5,kld_dim6,kld_dim7,kld_dim8,kld_dim9,kld_dim10
20,6291.69,3043.43,43.07,1.66,0.97,1.01,1.0,0.33,0.31,0.09,0.22,0.09,0.09,0.08,0.19,0.13,0.12
40,5252.34,2585.26,37.14,6.55,0.41,0.48,1.0,1.71,1.73,0.34,0.44,0.34,0.33,0.24,0.68,0.33,0.41
60,3960.96,1402.9,35.04,6.21,0.5,0.5,1.0,1.81,1.71,0.29,0.3,0.31,0.41,0.27,0.53,0.24,0.36
80,3634.91,1233.57,33.68,6.5,0.41,0.48,1.0,1.83,1.9,0.4,0.2,0.48,0.5,0.27,0.43,0.21,0.29
100,3278.39,951.2,33.19,6.03,0.42,0.47,1.0,1.65,1.7,0.31,0.34,0.37,0.38,0.25,0.43,0.29,0.31
120,3268.64,847.35,31.45,7.73,0.47,0.51,1.0,2.0,2.03,0.36,0.47,0.39,0.43,0.44,0.6,0.45,0.56
140,2976.81,697.04,31.82,6.71,0.41,0.45,1.0,1.82,1.83,0.31,0.35,0.38,0.45,0.32,0.51,0.36,0.39
160,2884.26,600.33,32.79,6.32,0.38,0.38,1.0,1.67,1.69,0.41,0.32,0.34,0.5,0.32,0.43,0.27,0.37
180,2803.23,587.94,30.9,7.26,0.35,0.48,1.0,1.85,1.87,0.52,0.4,0.39,0.53,0.43,0.44,0.37,0.47
200,2782.48,541.97,30.43,7.83,0.35,0.38,1.0,1.96,1.97,0.5,0.41,0.46,0.51,0.45,0.54,0.36,0.66
220,2785.55,517.49,30.91,7.75,0.35,0.37,1.0,1.99,1.96,0.44,0.42,0.45,0.54,0.45,0.62,0.29,0.59
240,2738.05,468.81,29.51,8.47,0.37,0.39,1.0,2.05,2.08,0.56,0.39,0.47,0.6,0.58,0.7,0.33,0.72
260,2736.45,482.71,30.41,7.49,0.4,0.48,1.0,1.76,1.8,0.47,0.5,0.62,0.64,0.46,0.42,0.34,0.48
280,2733.39,472.85,29.99,8.37,0.34,0.38,1.0,2.05,2.06,0.51,0.48,0.41,0.51,0.66,0.67,0.35,0.67
300,2679.26,440.46,29.76,8.11,0.36,0.4,1.0,1.89,1.92,0.56,0.46,0.5,0.57,0.62,0.59,0.4,0.59
320,2637.98,402.91,29.77,8.02,0.37,0.34,1.0,1.9,1.89,0.48,0.54,0.49,0.58,0.64,0.51,0.44,0.54
340,2713.11,401.88,30.24,8.45,0.37,0.48,1.0,1.95,1.99,0.52,0.46,0.49,0.52,0.68,0.75,0.31,0.76
360,2685.93,393.72,28.66,9.45,0.35,0.43,1.0,2.07,2.07,0.53,0.68,0.67,0.58,0.74,0.79,0.47,0.85
380,2661.05,377.88,29.29,8.93,0.36,0.37,1.0,1.96,1.99,0.49,0.66,0.54,0.61,0.8,0.77,0.41,0.69
400,2573.01,395.97,28.67,8.79,0.3,0.37,1.0,2.07,2.17,0.53,0.41,0.49,0.62,0.65,0.68,0.36,0.82
420,2579.24,361.01,29.83,8.14,0.34,0.45,1.0,1.83,1.95,0.54,0.48,0.56,0.62,0.66,0.55,0.31,0.64
440,2564.4,372.2,29.5,8.3,0.31,0.4,1.0,1.92,2.04,0.66,0.38,0.55,0.67,0.65,0.55,0.23,0.66
460,2550.93,349.5,29.34,8.68,0.3,0.41,1.0,1.98,2.06,0.56,0.53,0.47,0.6,0.76,0.68,0.27,0.77
480,2576.71,350.56,30.16,8.15,0.32,0.4,1.0,1.93,1.98,0.51,0.49,0.4,0.5,0.72,0.59,0.33,0.71
500,2575.05,355.73,29.68,8.46,0.31,0.35,1.0,1.91,1.97,0.51,0.57,0.52,0.55,0.78,0.65,0.37,0.64
520,2523.72,338.41,29.9,7.82,0.33,0.36,1.0,1.94,1.92,0.46,0.4,0.36,0.44,0.58,0.6,0.34,0.78
540,2559.98,359.45,28.49,8.69,0.35,0.42,1.0,2.09,2.09,0.55,0.5,0.42,0.57,0.73,0.67,0.39,0.69
560,2496.5,351.73,28.85,8.25,0.31,0.46,1.0,1.95,1.98,0.58,0.32,0.6,0.74,0.59,0.57,0.26,0.66
580,2554.79,352.43,29.68,8.33,0.31,0.42,1.0,1.96,1.95,0.44,0.39,0.61,0.69,0.51,0.5,0.68,0.6
600,2521.42,356.15,29.67,8.14,0.29,0.36,1.0,1.88,1.91,0.5,0.52,0.45,0.62,0.62,0.53,0.45,0.65
620,2621.61,357.33,28.21,9.12,0.39,0.42,1.0,2.05,2.02,0.69,0.42,0.69,0.79,0.71,0.56,0.5,0.69
640,2549.33,338.33,30.32,7.73,0.34,0.38,1.0,1.84,1.76,0.58,0.41,0.58,0.66,0.54,0.43,0.38,0.56
660,2519.8,309.72,28.19,9.18,0.33,0.45,1.0,2.16,2.07,0.63,0.55,0.55,0.7,0.83,0.65,0.33,0.7
680,2524.77,315.51,29.59,8.17,0.34,0.43,1.0,1.92,1.88,0.61,0.5,0.47,0.6,0.67,0.5,0.39,0.63
700,2501.62,345.44,27.4,9.8,0.26,0.45,1.0,2.21,2.17,0.64,0.69,0.66,0.71,0.72,0.62,0.58,0.81
720,2474.93,309.86,29.36,8.03,0.32,0.39,1.0,1.86,1.85,0.5,0.55,0.51,0.57,0.62,0.53,0.5,0.55
740,2458.03,305.19,29.83,7.86,0.3,0.39,1.0,1.85,1.88,0.59,0.36,0.43,0.52,0.55,0.54,0.41,0.72
760,2547.28,339.77,29.29,8.47,0.33,0.46,1.0,2.05,2.08,0.63,0.48,0.4,0.54,0.61,0.47,0.45,0.77
780,2461.74,315.41,29.74,8.05,0.28,0.4,1.0,1.92,1.91,0.62,0.48,0.48,0.68,0.56,0.48,0.36,0.56
800,2427.39,312.76,28.33,8.75,0.27,0.42,1.0,2.09,2.07,0.66,0.53,0.53,0.66,0.59,0.48,0.42,0.71
820,2537.58,326.39,29.73,8.16,0.33,0.44,1.0,2.04,1.97,0.55,0.4,0.44,0.47,0.54,0.5,0.45,0.79
840,2489.29,322.98,28.3,9.03,0.29,0.37,1.0,2.09,2.07,0.58,0.67,0.5,0.54,0.77,0.72,0.36,0.73
860,2440.09,316.13,28.94,8.24,0.29,0.32,1.0,2.02,1.99,0.59,0.45,0.49,0.6,0.54,0.41,0.51,0.65
880,2490.87,318.16,29.04,8.59,0.3,0.4,1.0,2.05,2.03,0.59,0.46,0.54,0.61,0.71,0.58,0.39,0.61
