iteration,total_loss,recon_loss,total_corr,betaVAE_kld,k_sim_loss,k_contrast_loss,lambda_TC,kld_dim1,kld_dim2,kld_dim3,kld_dim4,kld_dim5,kld_dim6,kld_dim7,kld_dim8,kld_dim9,kld_dim10
20,5551.64,3039.26,47.18,0.77,1.83,1.97,1.0,0.047670584,0.038472705,0.06122851,0.032496184,0.11094576,0.05405253,0.04838112,0.20171951,0.11565664,0.06396433
40,4343.23,2251.17,41.5,30.31,3.88,3.98,1.0,2.129942,2.1899157,3.6428814,0.8883809,4.7846317,1.6871848,1.9879453,6.8691835,3.7611723,2.3685167
60,2493.46,1263.33,26.18,97.12,3.72,4.63,1.0,5.351472,3.3097816,12.731611,5.05849,14.800018,8.284228,7.916836,18.129837,11.032123,10.510403
80,1764.55,936.1,15.24,126.35,4.19,4.86,1.0,8.32275,6.616638,20.02934,7.5090466,16.547245,12.06787,9.581599,20.983166,11.902256,12.787047
100,1373.18,666.56,14.99,98.09,3.67,4.18,1.0,9.529451,5.9935145,12.343483,8.156645,11.721596,10.137507,6.8715086,14.55308,7.847412,10.940111
120,1206.89,568.43,11.71,107.88,4.11,4.63,1.0,10.332614,5.696123,12.2589445,11.20679,13.137541,11.286547,7.881752,15.068659,8.431894,12.576847
140,1033.61,469.62,11.75,89.13,2.91,4.13,1.0,8.186443,4.4107895,10.866011,9.469823,11.128128,8.7534275,7.0886974,12.653322,6.915434,9.660715
160,907.8,371.88,10.69,89.59,3.54,4.29,1.0,10.570202,4.902062,12.267169,7.5568824,11.330261,7.9264483,7.069692,13.238735,6.30486,8.421749
180,929.56,389.51,9.98,95.58,3.03,4.8,1.0,9.962751,5.6638217,12.995602,7.522132,12.632669,8.351476,8.910764,13.402008,6.869624,9.268747
200,865.99,365.35,8.88,92.45,3.35,4.65,1.0,9.522951,5.8790045,12.739458,7.123892,10.864925,8.824074,9.002417,12.052963,6.0200768,10.4158535
220,854.32,360.82,8.34,93.65,3.23,3.9,1.0,10.973059,6.311334,15.079367,7.409879,9.608451,9.507799,8.422262,11.779589,5.3672385,9.190008
240,815.41,341.55,8.13,89.9,2.93,3.53,1.0,8.499955,6.5605597,15.754752,7.342085,9.418886,8.977627,8.4292555,10.314434,5.7419176,8.8608265
260,756.67,299.97,8.64,82.65,2.95,3.38,1.0,7.888271,6.3445663,15.261241,6.9405546,7.7998977,8.366126,6.5583725,9.34169,5.3645773,8.787392
280,732.27,279.71,7.43,88.52,2.84,4.15,1.0,9.517925,6.6246505,14.87471,7.9718857,8.305603,8.713539,7.817779,10.7956,5.507871,8.390853
300,698.5,261.61,8.36,79.4,2.6,3.33,1.0,8.059388,6.2801104,11.513046,6.996192,8.560398,8.7037525,7.619558,8.754284,5.3591557,7.551957
320,679.81,255.05,7.77,79.71,2.73,3.75,1.0,8.551962,6.8812065,12.941546,6.617868,8.177908,8.379973,6.3824196,8.677125,5.5883193,7.511777
340,661.91,247.5,7.66,77.73,2.61,3.81,1.0,8.574864,6.709207,12.179988,6.406297,8.009041,8.93083,6.584104,8.07276,5.384241,6.87697
360,641.36,242.82,7.21,75.91,2.97,3.27,1.0,9.118442,6.269748,10.486012,6.159111,8.148988,9.1703205,6.628275,7.939578,5.2313213,6.761894
380,615.1,222.11,7.39,73.79,2.55,3.64,1.0,8.964558,6.3005824,9.3097725,6.2289915,7.9347687,9.68651,6.417982,7.6011934,4.919943,6.429609
400,631.69,231.87,6.59,79.31,3.05,3.51,1.0,8.37006,7.0864916,10.314517,6.6201744,8.429716,11.05776,7.298299,7.7457304,5.925243,6.465087
420,591.72,200.58,6.97,75.36,2.69,3.46,1.0,8.161883,6.3856792,8.945785,7.6610413,7.6374393,10.081115,6.4974957,7.9257216,5.8697505,6.1954494
440,584.63,194.32,6.76,76.22,2.37,3.14,1.0,7.3154593,6.2300215,8.792795,8.720862,7.976615,10.9226675,6.7301993,7.5603733,5.855339,6.110916
460,560.78,178.66,7.03,72.78,2.27,2.95,1.0,7.1213894,6.1698203,7.6352515,8.663195,7.407745,9.549511,6.5674086,7.6152606,5.4744177,6.5765686
480,549.42,183.83,7.08,68.41,2.03,2.76,1.0,6.8676543,5.9192977,6.9940853,8.5787115,6.7001376,7.878312,6.3812027,6.862112,5.7661166,6.45971
500,542.56,179.94,6.73,69.45,1.95,2.75,1.0,7.0154505,6.2041626,6.731996,9.287359,6.644703,7.740745,6.244352,7.143302,5.7800083,6.658787
520,525.58,170.17,6.74,67.48,1.88,2.32,1.0,6.497894,6.1071663,6.7802477,9.733684,6.4860764,7.0109153,6.1345534,6.561782,5.768359,6.403857
540,531.33,172.19,6.68,68.72,2.01,2.52,1.0,6.77449,6.3055525,6.4593716,9.52741,6.4734983,7.328068,6.390493,7.095566,5.9728546,6.397045
560,518.82,170.73,6.4,67.34,1.74,2.37,1.0,6.1830654,6.1211185,6.7808867,8.5300455,6.5963736,7.713974,6.183098,6.8055625,6.0038204,6.423389
580,524.33,171.69,6.4,68.25,2.28,2.08,1.0,6.452209,6.0917144,6.669984,8.563542,6.857732,6.9528728,6.571571,6.434957,7.139576,6.5198326
600,517.23,170.74,6.43,66.75,1.88,2.41,1.0499999523162842,6.450193,6.280782,6.3929157,8.305716,6.5453672,6.9636087,6.385338,6.807073,6.2939396,6.3260646
620,531.44,176.75,6.23,69.2,2.17,2.33,1.0499999523162842,6.6483917,6.268132,6.4197903,8.44903,6.9545627,7.245256,6.932618,6.9417763,6.70829,6.636888
640,516.67,171.4,6.6,65.17,1.83,2.39,1.0499999523162842,6.407995,5.994447,6.2301917,7.7847776,6.544982,6.8042006,6.5765605,6.431215,6.2634583,6.132246
660,512.41,161.12,6.71,66.13,2.05,2.53,1.0499999523162842,6.5553303,6.4416246,6.418089,7.6467795,6.5308037,6.752944,6.768222,6.5980864,5.9995346,6.4162955
680,499.62,154.27,6.8,64.19,1.88,2.35,1.0499999523162842,6.249568,6.0123405,6.318477,7.5384116,6.4015207,6.28877,6.5679827,6.4114985,6.2181883,6.186481
700,530.08,177.47,6.49,67.56,2.08,2.73,1.1024998426437378,6.7577324,6.32559,6.5195227,8.091338,6.6725836,6.6359973,6.8878813,6.5014,6.5081224,6.663644
720,495.25,153.35,6.57,63.89,1.99,2.34,1.1024998426437378,6.355356,6.1403284,6.055537,7.7526712,6.100853,6.293295,6.4356475,6.220825,6.218911,6.3196936
740,497.27,147.49,6.76,64.92,1.57,1.86,1.1024998426437378,6.1423144,5.9768505,6.2432303,8.662701,6.1685786,6.022825,6.5358133,6.5432067,6.3562784,6.2718215
760,511.14,160.05,6.45,66.82,1.58,1.97,1.1024998426437378,6.2230988,6.103311,6.4916773,8.652384,6.3381834,6.1696067,6.796579,6.7406673,6.881463,6.418334
780,502.98,158.09,6.69,64.03,1.51,1.7,1.1024998426437378,6.1197577,5.94032,6.2959375,7.501438,6.149749,6.180822,6.5669975,6.468616,6.536758,6.2716765
800,515.67,163.76,6.6,66.18,1.78,1.87,1.1576248407363892,6.1348763,6.032295,6.663877,8.241026,6.386781,6.2151604,6.6020803,6.6826067,6.7291503,6.4904814
820,514.78,166.32,6.64,64.66,1.56,2.04,1.1576248407363892,6.1276064,6.114524,6.1915493,7.853756,6.113088,5.9625463,6.6887584,6.47499,6.4516745,6.682929
840,510.45,165.2,6.89,62.65,1.64,2.25,1.1576248407363892,6.0006638,6.0667667,6.2727504,6.519186,6.400165,6.026741,6.2711134,6.4016027,6.109821,6.5825214
